iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,population,gdp_per_capita
SGP,Asia,Singapore,4/20/2021,60865,14,30,0,10403.664,2.393,4.224,5.128,0,5850343,85535.383
SVK,Europe,Slovakia,4/20/2021,376709,642,11244,72,68998.834,117.59,122.221,2059.475,13.188,5459643,30155.152
SVN,Europe,Slovenia,4/20/2021,233031,720,4172,5,112091.689,346.332,356.983,2006.8,2.405,2078932,31400.84
SLB,Oceania,Solomon Islands,4/20/2021,20,0,,,29.117,0,0.208,,,686878,2205.923
SOM,Africa,Somalia,4/20/2021,13324,0,678,0,838.345,0,6.813,42.66,0,15893219,
ZAF,Africa,South Africa,4/20/2021,1568366,853,53887,130,26444.118,14.382,20.248,908.585,2.192,59308690,12294.876
KOR,Asia,South Korea,4/20/2021,115926,731,1806,4,2261.124,14.258,12.558,35.226,0.078,51269183,35938.374
SSD,Africa,South Sudan,4/20/2021,10478,5,114,0,936.06,0.447,1.161,10.184,0,11193729,1569.888
ESP,Europe,Spain,4/20/2021,3428354,0,77102,0,73326.273,0,158.291,1649.072,0,46754783,34272.36
LKA,Asia,Sri Lanka,4/20/2021,97472,367,620,0,4551.948,17.139,12.356,28.954,0,21413250,11669.077
SDN,Africa,Sudan,4/20/2021,33083,61,2287,6,754.471,1.391,4.072,52.156,0.137,43849269,4466.507
SUR,South America,Suriname,4/20/2021,9687,106,188,1,16512.851,180.692,78.9,320.472,1.705,586634,13767.119
SWE,Europe,Sweden,4/20/2021,916830,16692,13825,37,90781.809,1652.793,570.395,1368.911,3.664,10099270,46949.283
CHE,Europe,Switzerland,4/20/2021,639445,2141,10532,11,73884.832,247.382,232.378,1216.923,1.271,8654618,57410.166
SYR,Asia,Syria,4/20/2021,21433,154,1468,12,1224.697,8.8,8.147,83.883,0.686,17500657,
TWN,Asia,Taiwan,4/20/2021,1078,2,11,0,45.262,0.084,0.096,0.462,0,23816775,
TJK,Asia,Tajikistan,4/20/2021,13308,0,90,0,1395.313,0,0,9.436,0,9537642,2896.913
TZA,Africa,Tanzania,4/20/2021,509,0,21,0,8.521,0,0,0.352,0,59734213,2683.304
THA,Asia,Thailand,4/20/2021,45185,1443,108,4,647.35,20.673,21.715,1.547,0.057,69799978,16277.671
TLS,Asia,Timor,4/20/2021,1452,84,2,0,1101.3,63.712,40.957,1.517,0,1318442,6570.102
TGO,Africa,Togo,4/20/2021,12610,57,121,1,1523.179,6.885,9.939,14.616,0.121,8278737,1429.813
TTO,North America,Trinidad and Tobago,4/20/2021,9135,171,157,3,6527.373,122.187,63.697,112.184,2.144,1399491,28763.071
TUN,Africa,Tunisia,4/20/2021,289230,2169,9918,93,24472.404,183.524,176.791,839.184,7.869,11818618,10849.297
TUR,Asia,Turkey,4/20/2021,4384624,61028,36613,346,51988.054,723.603,714.571,434.117,4.102,84339067,25129.341
UGA,Africa,Uganda,4/20/2021,41422,26,341,2,905.577,0.568,0.681,7.455,0.044,45741000,1697.707
UKR,Europe,Ukraine,4/20/2021,2015257,9060,42129,374,46080.123,207.163,294.094,963.306,8.552,43733759,7894.393
ARE,Asia,United Arab Emirates,4/20/2021,500860,1903,1559,3,50641.026,192.409,190.127,157.628,0.303,9890400,67293.483
GBR,Europe,United Kingdom,4/20/2021,4408644,2530,127557,33,64941.869,37.268,37.548,1878.988,0.486,67886004,39753.244
USA,North America,United States,4/20/2021,31799237,61273,568560,824,96069.434,185.113,195.619,1717.69,2.489,331002647,54225.446
URY,South America,Uruguay,4/20/2021,169327,2294,2022,51,48745.051,660.386,818.265,582.084,14.682,3473727,20551.409
UZB,Asia,Uzbekistan,4/20/2021,87225,243,639,1,2606.128,7.26,8.255,19.092,0.03,33469199,6253.104
VUT,Oceania,Vanuatu,4/20/2021,3,0,,,9.767,0,0,,,307150,2921.909
VAT,Europe,Vatican,4/20/2021,27,0,,,33374.536,0,0,,,809,
VEN,South America,Venezuela,4/20/2021,185736,1141,1944,19,6531.733,40.125,44.029,68.364,0.668,28435943,16745.022
VNM,Asia,Vietnam,4/20/2021,2800,9,35,0,28.766,0.092,0.126,0.36,0,97338583,6171.884
YEM,Asia,Yemen,4/20/2021,5918,60,1138,6,198.418,2.012,1.969,38.155,0.201,29825968,1479.147
ZMB,Africa,Zambia,4/20/2021,91042,100,1236,0,4952.253,5.44,6.403,67.233,0,18383956,3689.251
ZWE,Africa,Zimbabwe,4/20/2021,37875,16,1554,1,2548.287,1.077,5.238,104.555,0.067,14862927,1899.775
